name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
Maruti Swift Dzire ZDI,2015,0.04964904216158053,0.01694545460707592,Diesel,Individual,Manual,First Owner,0.633095238095238,0.2093959731543624,0.11220043572984752,0.23694267515923564,5.0
Maruti SX4 ZDI,2012,0.0571716091101696,0.030502157210301736,Diesel,Individual,Manual,First Owner,0.5119047619047619,0.2093959731543624,0.15250544662309368,0.24968152866242038,5.0
Tata Tigor 2017-2020 XZ,2018,0.04714151984538417,0.014827219825321886,Petrol,Individual,Manual,First Owner,0.48333333333333334,0.1929530201342282,0.13891612200435732,0.14012738853503184,5.0
Maruti Baleno Delta 1.2,2016,0.05466408679397324,0.019063689388829953,Petrol,Individual,Manual,First Owner,0.5095238095238095,0.19228187919463088,0.1369825708061002,0.14140127388535031,5.0
Maruti Alto 800 LXI,2017,0.02457381899961695,0.011861691130866239,Petrol,Individual,Manual,First Owner,0.588095238095238,0.057718120805369116,0.0394880174291939,0.08280254777070063,5.0
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,0.027081341315813308,0.02965486329760012,Diesel,Individual,Manual,First Owner,0.4333333333333333,0.2093959731543624,0.11165577342047932,0.21401273885350316,7.0
Maruti Wagon R LXI Minor,2009,0.019057269903984965,0.05083721111514047,Petrol,Individual,Manual,First Owner,0.44999999999999996,0.14664429530201342,0.0931372549019608,0.1019108280254777,5.0
Maruti Omni E MPI STD BS IV,2018,0.022567700845767216,0.010590750261813818,Petrol,Individual,Manual,First Owner,0.4,0.057718120805369116,0.0038126361655773655,0.07006369426751592,8.0
Maruti Vitara Brezza LDi Option,2017,0.0641926715955194,0.02965486329760012,Diesel,Individual,Manual,First Owner,0.5785714285714285,0.2093959731543624,0.1516884531590414,0.24968152866242038,5.0
Maruti Omni 8 Seater BSIV,2012,0.012036207418635163,0.014827219825321886,Petrol,Individual,Manual,Second Owner,0.3333333333333333,0.057718120805369116,0.00599128540305012,0.002547770700636943,5.0
Hyundai i20 1.2 Asta Dual Tone,2018,0.07021072515439065,0.0010112452848093758,Petrol,Individual,Manual,First Owner,0.4428571428571429,0.19228187919463088,0.1335239651416122,0.14012738853503184,5.0
Maruti Vitara Brezza LDi,2017,0.06218665374256231,0.006862657045926719,Diesel,Individual,Manual,First Owner,0.5785714285714285,0.2093959731543624,0.1516884531590414,0.24968152866242038,5.0
Maruti Alto 800 CNG LXI Optional,2019,0.030090368095248936,0.004236045916551717,CNG,Individual,Manual,Second Owner,0.7961904761904761,0.057718120805369116,0.0204248366013072,0.07133757961783439,4.0
Maruti Alto K10 VXI Airbag,2019,0.033701200230571694,0.006354280698305751,Petrol,Individual,Manual,First Owner,0.5702380952380952,0.12550335570469798,0.09340958605664489,0.10955414012738852,5.0
Hyundai Verna VTVT 1.6 SX Option,2019,0.1122367991738416,0.0021178111347976833,Petrol,Individual,Manual,First Owner,0.40476190476190477,0.324496644295302,0.24101307189542487,0.18726114649681527,5.0
Datsun GO D,2016,0.012036207418635163,0.01779274851977753,Petrol,Individual,Manual,First Owner,0.4911904761904761,0.19261744966442954,0.0931372549019608,0.12738853503184713,5.0
Tata Safari DICOR 2.2 LX 4x2,2011,0.0396189528967951,0.025418393734092055,Diesel,Individual,Manual,Second Owner,0.33166666666666667,0.5218120805369127,0.2865740740740741,0.4025477707006369,7.0
Maruti 800 Std,2012,0.012036207418635163,0.032196745035704966,Petrol,Individual,Manual,First Owner,0.38333333333333336,0.057718120805369116,0.011437908496732041,0.07006369426751592,4.0
Jeep Compass 1.4 Limited Plus BSIV,2019,0.20762294808195106,0.0021178111347976833,Petrol,Individual,Automatic,First Owner,0.38095238095238093,0.24966442953020132,0.34850217864923755,0.31337579617834393,5.0
Honda City i VTEC VX,2018,0.08976939922072225,0.012242973391581966,Petrol,Dealer,Manual,First Owner,0.4238095238095238,0.2929530201342282,0.23011982570806105,0.17961783439490445,5.0
Honda City V MT,2013,0.0396189528967951,0.03656030868611827,Petrol,Dealer,Manual,First Owner,0.4,0.2929530201342282,0.2273965141612201,0.18089171974522292,5.0
Maruti Swift Dzire VXi AT,2018,0.06469417605875867,0.009870550436017447,Petrol,Dealer,Automatic,First Owner,0.44047619047619047,0.19228187919463088,0.13709150326797387,0.14140127388535031,5.0
Maruti Vitara Brezza VDi,2018,0.0792377051918049,0.01381046713007995,Diesel,Dealer,Manual,First Owner,0.5785714285714285,0.2093959731543624,0.1516884531590414,0.24968152866242038,5.0
Maruti Alto K10 VXI,2018,0.0361084216541202,0.004363140003456959,Petrol,Dealer,Manual,First Owner,0.5702380952380952,0.12550335570469798,0.09327342047930283,0.10955414012738852,5.0
Toyota Fortuner 4x4 MT,2014,0.14744241249323847,0.03262039199205577,Diesel,Dealer,Manual,First Owner,0.2988095238095238,0.7912751677852348,0.3695533769063181,0.43184713375796174,7.0
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,0.06720169837495503,0.041940625031773524,Diesel,Dealer,Manual,First Owner,0.3092857142857143,0.6275167785234899,0.18300653594771243,0.24968152866242038,7.0
Mercedes-Benz B Class B180,2014,0.14242736786084575,0.011776961739596078,Diesel,Dealer,Automatic,Second Owner,0.3523809523809524,0.5097315436241611,0.2393790849673203,0.24968152866242038,5.0
Honda Amaze S Diesel,2015,0.0396189528967951,0.021097194779313825,Diesel,Dealer,Manual,First Owner,0.588095238095238,0.2932885906040268,0.17927559912854035,0.24968152866242038,5.0
Mitsubishi Pajero Sport 4X4,2013,0.10631904650761821,0.06397026676201548,Diesel,Dealer,Manual,First Owner,0.3214285714285714,0.6218120805369127,0.3887799564270153,0.5044585987261146,7.0
Honda City i DTEC S,2015,0.0571716091101696,0.023173064865432778,Diesel,Dealer,Manual,First Owner,0.6190476190476191,0.2932885906040268,0.17919389978213512,0.24968152866242038,5.0
Maruti Ciaz Zeta,2018,0.08224683227213318,0.02711298155949528,Petrol,Dealer,Manual,First Owner,0.4916666666666666,0.2812080536912751,0.1918572984749456,0.17070063694267515,5.0
Honda Jazz VX Diesel,2015,0.04964904216158053,0.026689334603144474,Diesel,Dealer,Manual,First Owner,0.65,0.2932885906040268,0.17919389978213512,0.24968152866242038,5.0
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,0.16248754639041663,0.05409929267904168,Diesel,Dealer,Automatic,Second Owner,0.2704761904761904,0.7151006711409396,0.377723311546841,0.45350318471337575,7.0
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,0.0922769215369186,0.041940625031773524,Diesel,Dealer,Manual,First Owner,0.3092857142857143,0.6275167785234899,0.184640522875817,0.24968152866242038,7.0
Audi A6 2.0 TDI Technology,2013,0.17251763565520203,0.014361208173335999,Diesel,Dealer,Automatic,Second Owner,0.4209523809523809,0.45100671140939597,0.3854302832244009,0.47898089171974517,5.0
Toyota Corolla Altis 1.8 VL CVT,2018,0.15646949283154535,0.010590750261813818,Petrol,Dealer,Automatic,First Owner,0.33999999999999997,0.39395973154362407,0.2865740740740741,0.21528662420382164,5.0
Audi A6 2.0 TDI  Design Edition,2013,0.16649948179543814,0.021181924170583986,Diesel,Dealer,Automatic,First Owner,0.4411904761904762,0.45100671140939597,0.4219498910675382,0.5044585987261146,5.0
Mercedes-Benz New C-Class 220 CDI AT,2013,0.1399198455446494,0.024994746777741248,Diesel,Dealer,Automatic,First Owner,0.35333333333333333,0.5097315436241611,0.37363834422657954,0.5044585987261146,5.0
Tata Manza ELAN Quadrajet BS IV,2011,0.023570810073138406,0.05083721111514047,Diesel,Individual,Manual,First Owner,0.5028571428571429,0.2093959731543624,0.15250544662309368,0.24968152866242038,5.0
Hyundai i10 Magna,2011,0.016048243124549336,0.046600741551632394,Petrol,Individual,Manual,Third Owner,0.4847619047619047,0.19228187919463088,0.12554466230936823,0.13630573248407643,5.0
Hyundai i20 Asta 1.4 CRDi,2013,0.0396189528967951,0.025418393734092055,Diesel,Individual,Manual,First Owner,0.5064285714285713,0.25906040268456376,0.15239651416122008,0.27388535031847133,5.0
Maruti Swift Dzire ZDI,2015,0.06018063588960523,0.06227567893661225,Diesel,Individual,Manual,Second Owner,0.633095238095238,0.2093959731543624,0.11220043572984752,0.23694267515923564,5.0
Ford Figo 1.2P Titanium MT,2017,0.0571716091101696,0.010590750261813818,Petrol,Individual,Manual,Third Owner,0.43238095238095237,0.19194630872483223,0.1470588235294118,0.1375796178343949,5.0
Maruti Baleno Delta 1.2,2019,0.06218665374256231,0.012708985043567853,Petrol,Individual,Manual,First Owner,0.5095238095238095,0.19228187919463088,0.1369825708061002,0.14140127388535031,5.0
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,0.051153555551298344,0.01694545460707592,Diesel,Individual,Manual,First Owner,0.5238095238095237,0.2932885906040268,0.2061410675381264,0.31337579617834393,5.0
Honda City i DTEC VX,2015,0.06018063588960523,0.057191915460402566,Diesel,Individual,Manual,First Owner,0.5976190476190476,0.2932885906040268,0.17919389978213512,0.24968152866242038,5.0
Maruti Wagon R AMT VXI,2018,0.04192587342769575,0.012708985043567853,Petrol,Individual,Automatic,First Owner,0.48833333333333334,0.12550335570469798,0.0931372549019608,0.10955414012738852,5.0
Volkswagen Ameo 1.5 TDI Comfortline,2017,0.04714151984538417,0.033891332861108195,Diesel,Individual,Manual,First Owner,0.5157142857142857,0.2932885906040268,0.20648148148148154,0.31337579617834393,5.0
Maruti Vitara Brezza VDi,2016,0.07171523854410848,0.02965486329760012,Diesel,Individual,Manual,First Owner,0.5785714285714285,0.2093959731543624,0.1516884531590414,0.24968152866242038,5.0
Maruti Vitara Brezza ZDi Plus AMT,2019,0.09979948848550768,0.004172498873099096,Diesel,Individual,Automatic,First Owner,0.5785714285714285,0.2093959731543624,0.1516884531590414,0.24968152866242038,5.0
Hyundai i10 Magna,2011,0.020561783293702778,0.025418393734092055,Petrol,Individual,Manual,Second Owner,0.4847619047619047,0.19228187919463088,0.12554466230936823,0.13630573248407643,5.0
Maruti Swift VDI Deca,2016,0.06018063588960523,0.02965486329760012,Diesel,Individual,Manual,First Owner,0.6,0.2093959731543624,0.11220043572984752,0.23694267515923564,5.0
Toyota Fortuner 4x4 MT,2015,0.16750259102280934,0.03304403894840658,Diesel,Individual,Manual,Second Owner,0.2988095238095238,0.7912751677852348,0.3695533769063181,0.43184713375796174,7.0
Maruti Swift Star VDI,2013,0.042126475212991454,0.05083721111514047,Diesel,Individual,Manual,Second Owner,0.5452380952380952,0.2093959731543624,0.11220043572984752,0.23694267515923564,5.0
Maruti Ertiga ZXI,2012,0.042126475212991454,0.05083721111514047,Petrol,Individual,Manual,Second Owner,0.3814285714285714,0.2513422818791946,0.1658496732026144,0.16050955414012738,7.0
Volkswagen Vento Diesel Highline,2013,0.042126475212991454,0.0720195589326808,Diesel,Individual,Manual,First Owner,0.489047619047619,0.3268456375838926,0.1928104575163399,0.31337579617834393,5.0
Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,0.11735214469888218,0.0593101502421566,Diesel,Individual,Manual,First Owner,0.3092857142857143,0.6275167785234899,0.184640522875817,0.24968152866242038,8.0
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,0.05817461803664815,0.03812780242461626,Diesel,Individual,Manual,First Owner,0.5421428571428571,0.2932885906040268,0.1791666666666667,0.25605095541401274,5.0
BMW X1 sDrive20i xLine,2016,0.24774330514109275,0.012708985043567853,Petrol,Individual,Automatic,Second Owner,0.3740476190476191,0.4610738255033556,0.4253812636165578,0.35159235668789807,5.0
Maruti Celerio ZXI MT BSIV,2017,0.045636906154773706,0.004236045916551717,Petrol,Dealer,Manual,First Owner,0.55,0.12550335570469798,0.09324618736383446,0.10955414012738852,5.0
Datsun GO A Petrol,2016,0.02457381899961695,0.02075827721423318,Petrol,Dealer,Manual,First Owner,0.45285714285714285,0.19261744966442954,0.09327342047930283,0.12738853503184713,5.0
Maruti Alto 800 VXI BSIV,2016,0.028585854705531124,0.013556278956269466,Petrol,Dealer,Manual,First Owner,0.588095238095238,0.057718120805369116,0.0394880174291939,0.08280254777070063,5.0
Maruti Alto 800 LXI BSIV,2016,0.02457381899961695,0.016098160694374305,Petrol,Dealer,Manual,First Owner,0.588095238095238,0.057718120805369116,0.0394880174291939,0.08280254777070063,5.0
Hyundai i10 Era 1.1,2012,0.026078332389334765,0.011861691130866239,Petrol,Dealer,Manual,First Owner,0.4716666666666666,0.15503355704697988,0.0959967320261438,0.12101910828025478,5.0
Maruti Omni 8 Seater BSIV,2017,0.025075323462856222,0.013556278956269466,Petrol,Dealer,Manual,First Owner,0.3333333333333333,0.057718120805369116,0.00599128540305012,0.002547770700636943,5.0
Maruti Wagon R LXI LPG BSIV,2010,0.019558774367224235,0.018640042432479145,LPG,Dealer,Manual,First Owner,0.6238095238095237,0.12550335570469798,0.06917211328976038,0.0929936305732484,5.0
Volkswagen Polo 1.2 MPI Comfortline,2015,0.04262797967623073,0.01779274851977753,Petrol,Dealer,Manual,First Owner,0.39214285714285707,0.19261744966442954,0.11220043572984752,0.13503184713375796,5.0
Hyundai i10 Magna 1.1L,2015,0.03219668684085388,0.019063689388829953,Petrol,Dealer,Manual,Second Owner,0.4716666666666666,0.15503355704697988,0.0959967320261438,0.12101910828025478,5.0
Volkswagen Vento Petrol Highline,2012,0.05065205108805907,0.00508333982925333,Petrol,Dealer,Manual,Second Owner,0.3580952380952381,0.3268456375838926,0.1928104575163399,0.18980891719745221,5.0
Maruti Zen Estilo LXI BSIII,2009,0.01454372973483152,0.023511982430513424,Petrol,Dealer,Manual,First Owner,0.4333333333333333,0.12550335570469798,0.09340958605664489,0.10955414012738852,5.0
Hyundai i20 Asta Optional with Sunroof 1.2,2013,0.04964904216158053,0.026053864168618265,Petrol,Dealer,Manual,First Owner,0.44047619047619047,0.19228187919463088,0.13630174291938996,0.13885350318471337,5.0
Maruti Swift Dzire LDI,2016,0.0571716091101696,0.06354661980566467,Diesel,Individual,Manual,First Owner,0.633095238095238,0.2093959731543624,0.11220043572984752,0.23694267515923564,5.0
Hyundai Xcent 1.2 Kappa SX Option AT,2016,0.0536610778674947,0.030502157210301736,Petrol,Dealer,Automatic,First Owner,0.45476190476190476,0.19228187919463088,0.1339869281045752,0.14012738853503184,5.0
Maruti Alto LX BSIII,2008,0.009027180639199535,0.028807569384898507,Petrol,Dealer,Manual,Third Owner,0.469047619047619,0.057718120805369116,0.036764705882352935,0.07388535031847134,5.0
Hyundai i20 1.4 Asta Option,2017,0.06970922069115139,0.046600741551632394,Diesel,Individual,Manual,First Owner,0.5366666666666666,0.25906040268456376,0.15231481481481485,0.27388535031847133,5.0
Maruti Wagon R VXI,2009,0.015546738661310063,0.03262039199205577,Petrol,Dealer,Manual,Second Owner,0.5188095238095237,0.12550335570469798,0.09327342047930283,0.10955414012738852,5.0
Tata Manza Aura (ABS) Quadrajet,2010,0.01705125205102788,0.04236427198812433,Diesel,Individual,Manual,Second Owner,0.44761904761904764,0.2093959731543624,0.15577342047930287,0.24968152866242038,5.0
Maruti Swift VXI,2019,0.05867612249988741,0.004236045916551717,Petrol,Individual,Manual,First Owner,0.505,0.19228187919463088,0.13344226579520696,0.13885350318471337,5.0
Maruti Eeco 7 Seater Standard BSIV,2016,0.02407231453637768,0.04236427198812433,Petrol,Individual,Manual,Third Owner,0.3659523809523809,0.19194630872483223,0.10947712418300655,0.12356687898089172,7.0
Maruti Baleno Zeta 1.2,2018,0.05817461803664815,0.014827219825321886,Petrol,Individual,Manual,First Owner,0.5095238095238095,0.19228187919463088,0.1369825708061002,0.14140127388535031,5.0
Mahindra Scorpio VLX AT AIRBAG BSIV,2014,0.05967913142636595,0.02965486329760012,Diesel,Individual,Automatic,Second Owner,0.2807142857142857,0.5218120805369127,0.23747276688453162,0.3643312101910828,8.0
Ford Freestyle Titanium Petrol BSIV,2020,0.037111430580598744,0.0021178111347976833,Petrol,Individual,Manual,Second Owner,0.45238095238095233,0.19127516778523487,0.16851851851851857,0.14777070063694267,5.0
Hyundai Verna VTVT 1.6 SX,2017,0.08385164655449885,0.016013431303104144,Petrol,Individual,Manual,First Owner,0.40476190476190477,0.324496644295302,0.24101307189542487,0.18726114649681527,5.0
Volkswagen Passat 1.8 TSI MT,2010,0.06720169837495503,0.04829532937703562,Petrol,Individual,Manual,First Owner,0.3404761904761905,0.39395973154362407,0.34640522875817,0.31337579617834393,5.0
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,0.027081341315813308,0.02033463025788237,Petrol,Individual,Manual,First Owner,0.3761904761904762,0.18389261744966443,0.0876906318082789,0.11719745222929936,5.0
Mahindra XUV500 W11 Option AWD,2019,0.16750259102280934,0.013556278956269466,Diesel,Individual,Manual,First Owner,0.35952380952380947,0.5218120805369127,0.3327886710239652,0.45350318471337575,7.0
Tata Indigo CS LS (TDI) BS-III,2016,0.034603908264402385,0.04236427198812433,Diesel,Individual,Manual,First Owner,0.4545238095238095,0.2620805369127517,0.09861111111111114,0.16687898089171974,5.0
Hyundai Verna 1.6 SX,2013,0.04934813948363696,0.06354661980566467,Diesel,Individual,Manual,Second Owner,0.5314285714285714,0.3214765100671141,0.25468409586056645,0.3248407643312102,5.0
Hyundai i20 Magna 1.4 CRDi (Diesel),2013,0.04232697669739452,0.029231216341249314,Diesel,Individual,Manual,First Owner,0.5214285714285714,0.25906040268456376,0.15239651416122008,0.27388535031847133,5.0
Toyota Corolla Altis G,2009,0.027081341315813308,0.04236427198812433,Petrol,Individual,Manual,Second Owner,0.3459523809523809,0.39395973154362407,0.286764705882353,0.21528662420382164,5.0
Maruti Celerio VXI,2020,0.04463399752918781,0.0055069867856041375,Petrol,Individual,Manual,First Owner,0.5149999999999999,0.12550335570469798,0.09324618736383446,0.10955414012738852,5.0
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,0.07522576978678337,0.025418393734092055,Diesel,Individual,Manual,First Owner,0.5785714285714285,0.2093959731543624,0.1516884531590414,0.24968152866242038,5.0
Maruti Swift Dzire VXI,2017,0.05667010464693033,0.01694545460707592,Petrol,Individual,Manual,First Owner,0.49642857142857144,0.19228187919463088,0.13709150326797387,0.14140127388535031,5.0
Maruti Wagon R VXI BS IV,2017,0.041123466286512915,0.014827219825321886,Petrol,Individual,Manual,First Owner,0.48833333333333334,0.12550335570469798,0.09324618736383446,0.10955414012738852,5.0
Nissan Terrano XL 85 PS,2014,0.037111430580598744,0.02965486329760012,Diesel,Individual,Manual,Third Owner,0.48690476190476184,0.2808724832214765,0.1388888888888889,0.24968152866242038,5.0
Hyundai Creta 1.6 CRDi SX,2016,0.11133409114001093,0.021181924170583986,Diesel,Individual,Manual,First Owner,0.4683333333333333,0.3214765100671141,0.2543572984749456,0.3248407643312102,5.0
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,0.08224683227213318,0.032255631962637726,Diesel,Individual,Manual,First Owner,0.5476190476190476,0.2932885906040268,0.18017429193899787,0.25605095541401274,5.0
Maruti Swift Dzire VDi,2012,0.03410240380116311,0.07413779371443484,Diesel,Individual,Manual,Fourth & Above Owner,0.4595238095238095,0.2093959731543624,0.11192810457516343,0.23694267515923564,5.0
Renault KWID 1.0,2018,0.032096385948206026,0.010590750261813818,Petrol,Individual,Manual,First Owner,0.5478571428571428,0.12583892617449663,0.0931372549019608,0.110828025477707,5.0
Maruti Celerio VXI,2015,0.03309939487468457,0.01694545460707592,Petrol,Individual,Manual,Second Owner,0.55,0.12550335570469798,0.09324618736383446,0.10955414012738852,5.0
Maruti Alto LXi,2008,0.00752266724948172,0.02753662851584609,Petrol,Individual,Manual,Fourth & Above Owner,0.469047619047619,0.057718120805369116,0.036764705882352935,0.07388535031847134,5.0
Maruti Ertiga VDI,2013,0.05967913142636595,0.03812780242461626,Diesel,Individual,Manual,Second Owner,0.4945238095238095,0.2093959731543624,0.15239651416122008,0.24968152866242038,7.0
Hyundai Santro Xing GLS,2009,0.010531694028917349,0.033891332861108195,Petrol,Individual,Manual,Second Owner,0.4266666666666667,0.15503355704697988,0.0797930283224401,0.11719745222929936,5.0
Maruti Ertiga VDI,2015,0.06720169837495503,0.046600741551632394,Diesel,Individual,Manual,Second Owner,0.4945238095238095,0.2093959731543624,0.15239651416122008,0.24968152866242038,7.0
Honda Amaze S i-VTEC,2019,0.06619868944847648,0.0005515883371687504,Petrol,Dealer,Manual,First Owner,0.4238095238095238,0.19261744966442954,0.14678649237472768,0.1337579617834395,5.0
Audi Q5 35TDI Premium Plus,2018,0.3956871217966778,0.013471549564999305,Diesel,Dealer,Automatic,First Owner,0.405,0.45100671140939597,0.4226579520697168,0.5044585987261146,5.0
Lexus ES 300h,2019,0.5135406706579067,0.008472515480059785,Petrol,Dealer,Automatic,First Owner,0.5326190476190477,0.6251677852348992,0.4949891067538127,0.2522292993630573,5.0
Jaguar XF 2.0 Diesel Portfolio,2017,0.31795392999459077,0.019063689388829953,Diesel,Dealer,Automatic,First Owner,0.46023809523809517,0.46140939597315433,0.39270152505446626,0.5426751592356688,5.0
Jeep Wrangler 2016-2019 3.6 4X4,2017,0.40822473337765963,0.007201574611007364,Petrol,Individual,Automatic,First Owner,0.22619047619047616,1.0,0.673202614379085,0.4369426751592356,5.0
Land Rover Discovery Sport TD4 SE,2019,0.4483450904368013,0.00889616243641059,Diesel,Dealer,Automatic,First Owner,0.30547619047619046,0.46140939597315433,0.3145697167755992,0.4815286624203821,7.0
Mercedes-Benz S-Class S 350 CDI,2017,0.5987964294085828,0.015674513738023498,Diesel,Dealer,Automatic,First Owner,0.3214285714285714,0.7929530201342281,0.6045479302832244,0.7847133757961783,5.0
BMW 5 Series 520d Sport Line,2018,0.3771314566568248,0.01249716156539245,Diesel,Dealer,Automatic,First Owner,0.5352380952380952,0.46006711409395973,0.4219498910675382,0.5044585987261146,5.0
BMW X4 M Sport X xDrive20d,2019,0.5787362508790119,0.0031769285256747003,Diesel,Dealer,Automatic,First Owner,0.3995238095238095,0.46006711409395973,0.4281045751633987,0.5044585987261146,5.0
Skoda Superb LK 1.8 TSI AT,2018,0.18405213800881265,0.021181924170583986,Petrol,Dealer,Automatic,First Owner,0.34928571428571425,0.39395973154362407,0.3939542483660131,0.31337579617834393,5.0
Mercedes-Benz E-Class E250 Edition E,2016,0.2678034836706636,0.014827219825321886,Diesel,Dealer,Automatic,First Owner,0.3571428571428571,0.5097315436241611,0.46623093681917216,0.6318471337579618,5.0
MG Hector Sharp AT BSIV,2019,0.17251763565520203,0.008048868523708978,Petrol,Dealer,Automatic,First Owner,0.3323809523809524,0.2775167785234899,0.29466230936819177,0.31337579617834393,5.0
Honda City i-VTEC CVT VX,2017,0.07673028317650119,0.017369101563426727,Petrol,Dealer,Automatic,First Owner,0.42857142857142855,0.2929530201342282,0.23093681917211334,0.17961783439490445,5.0
Toyota Corolla Altis 1.8 G CVT,2013,0.05967913142636595,0.016521807650725112,Petrol,Dealer,Automatic,First Owner,0.33999999999999997,0.39395973154362407,0.2865740740740741,0.21528662420382164,5.0
Volvo XC40 D4 R-Design,2018,0.33801410852416164,0.009319809392761398,Diesel,Dealer,Automatic,First Owner,0.42857142857142855,0.45134228187919456,0.4281045751633987,0.5044585987261146,5.0
Audi Q7 35 TDI Quattro Premium,2015,0.26278843903827087,0.022452865039636408,Diesel,Dealer,Automatic,First Owner,0.28738095238095235,0.7862416107382549,0.568082788671024,0.6955414012738853,7.0
Maruti Ciaz ZDi,2015,0.05065205108805907,0.01694545460707592,Diesel,Dealer,Manual,First Owner,0.6240476190476191,0.2093959731543624,0.1516884531590414,0.24968152866242038,5.0
